id,abbreviation,club_name,special_ranking
1,NORD,FC Nordsjaelland,W
2,CPH,FC Copenhagen,C
3,VIB,Viborg FF,N
4,AGF,AGF Aarhus,N
5,RAN,Randers FC,N
6,BRO,Brøndby,N
7,SIF,Silkeborg IF,N
8,MID,FC Midtjylland,N
9,OBK,Odense Boldklub,N
10,ACH,AC Horsens,N
11,LBK,Lyngby,P
12,AaB,AaB,P
